Date,Periode,Close,Intervensi
03/06/2019,75,173.35,0
10/06/2019,76,181.33,0
17/06/2019,77,191.14,0
24/06/2019,78,193.00,0
01/07/2019,79,196.40,0
08/07/2019,80,204.87,0
15/07/2019,81,198.36,0
22/07/2019,82,199.75,0
29/07/2019,83,189.02,0
05/08/2019,84,187.85,0
12/08/2019,85,183.70,0
19/08/2019,86,177.75,0
26/08/2019,87,185.67,0
02/09/2019,88,187.49,0
09/09/2019,89,187.19,0
16/09/2019,90,189.93,0
23/09/2019,91,177.10,0
30/09/2019,92,180.45,0
07/10/2019,93,184.19,0
14/10/2019,94,185.85,0
21/10/2019,95,187.89,0
28/10/2019,96,193.62,0
04/11/2019,97,190.84,0
11/11/2019,98,195.10,0
18/11/2019,99,198.82,0
25/11/2019,100,201.64,0
02/12/2019,101,201.05,0
09/12/2019,102,194.11,0
16/12/2019,103,206.30,0
23/12/2019,104,208.10,0
30/12/2019,105,208.67,0
06/01/2020,106,218.06,0
13/01/2020,107,222.14,0
20/01/2020,108,217.94,0
27/01/2020,109,201.91,0
03/02/2020,110,212.33,0
10/02/2020,111,214.18,0
17/02/2020,112,210.18,0
24/02/2020,113,192.47,0
02/03/2020,114,181.09,0
09/03/2020,115,170.28,0
16/03/2020,116,149.73,0
23/03/2020,117,156.79,0
30/03/2020,118,154.18,0
06/04/2020,119,175.19,0
13/04/2020,120,179.24,0
20/04/2020,121,190.07,0
27/04/2020,122,202.27,0
04/05/2020,123,212.35,0
11/05/2020,124,210.88,0
18/05/2020,125,234.91,0
25/05/2020,126,225.09,0
01/06/2020,127,230.77,0
08/06/2020,128,228.58,0
15/06/2020,129,238.79,0
22/06/2020,130,216.08,0
29/06/2020,131,233.42,0
06/07/2020,132,245.07,0
13/07/2020,133,242.03,0
20/07/2020,134,230.71,0
27/07/2020,135,253.67,0
03/08/2020,136,268.44,0
10/08/2020,137,261.24,0
17/08/2020,138,267.01,0
24/08/2020,139,293.66,0
31/08/2020,140,282.73,0
07/09/2020,141,266.61,0
14/09/2020,142,252.53,0
21/09/2020,143,254.82,0
28/09/2020,144,259.94,0
05/10/2020,145,264.45,0
12/10/2020,146,265.93,0
19/10/2020,147,284.79,0
26/10/2020,148,263.11,0
02/11/2020,149,293.41,0
09/11/2020,150,276.95,0
16/11/2020,151,269.70,0
23/11/2020,152,277.81,0
30/11/2020,153,279.70,0
07/12/2020,154,273.55,0
14/12/2020,155,276.40,0
21/12/2020,156,267.40,0
28/12/2020,157,273.16,0
04/01/2021,158,267.57,0
11/01/2021,159,251.36,0
18/01/2021,160,274.50,0
25/01/2021,161,258.33,0
01/02/2021,162,268.10,0
08/02/2021,163,270.50,0
15/02/2021,164,261.56,0
22/02/2021,165,257.62,0
01/03/2021,166,264.28,0
08/03/2021,167,268.40,0
15/03/2021,168,290.11,0
22/03/2021,169,283.02,0
29/03/2021,170,298.66,0
05/04/2021,171,312.46,0
12/04/2021,172,306.18,0
19/04/2021,173,301.13,0
26/04/2021,174,325.08,0
03/05/2021,175,319.08,0
10/05/2021,176,315.94,0
17/05/2021,177,316.23,0
24/05/2021,178,328.73,0
31/05/2021,179,330.35,0
07/06/2021,180,331.26,0
14/06/2021,181,329.66,0
21/06/2021,182,341.37,0
28/06/2021,183,354.70,0
05/07/2021,184,350.42,0
12/07/2021,185,341.16,0
19/07/2021,186,369.79,0
26/07/2021,187,356.30,0
02/08/2021,188,363.51,0
09/08/2021,189,363.18,0
16/08/2021,190,359.37,0
23/08/2021,191,372.63,0
30/08/2021,192,376.26,0
06/09/2021,193,378.69,0
13/09/2021,194,364.72,0
20/09/2021,195,352.96,0
27/09/2021,196,343.01,0
04/10/2021,197,330.05,0
11/10/2021,198,324.76,0
18/10/2021,199,324.61,0
25/10/2021,200,323.57,0
01/11/2021,201,341.13,0
08/11/2021,202,340.89,0
15/11/2021,203,345.30,0
22/11/2021,204,333.12,0
29/11/2021,205,306.84,0
06/12/2021,206,329.75,0
13/12/2021,207,333.79,0
20/12/2021,208,335.24,0
27/12/2021,209,336.35,0
03/01/2022,210,331.79,0
10/01/2022,211,331.90,0
17/01/2022,212,303.17,0
24/01/2022,213,301.71,0
31/01/2022,214,237.09,1
07/02/2022,215,219.55,1
14/02/2022,216,206.16,1
21/02/2022,217,210.48,1
28/02/2022,218,200.06,1
07/03/2022,219,187.61,1
14/03/2022,220,216.49,1
21/03/2022,221,221.82,0
28/03/2022,222,224.85,0
04/04/2022,223,222.33,0
11/04/2022,224,210.18,0
18/04/2022,225,184.11,0
25/04/2022,226,200.47,0
02/05/2022,227,203.77,0
09/05/2022,228,198.62,0
16/05/2022,229,193.54,0
23/05/2022,230,195.13,0
30/05/2022,231,190.78,0
06/06/2022,232,175.57,0
13/06/2022,233,163.74,0
20/06/2022,234,170.16,0
27/06/2022,235,160.03,0
04/07/2022,236,170.88,0
11/07/2022,237,164.70,0
18/07/2022,238,169.27,0
25/07/2022,239,159.10,0
01/08/2022,240,167.11,0
08/08/2022,241,180.50,0
15/08/2022,242,167.96,0
22/08/2022,243,161.78,0
29/08/2022,244,160.32,0
05/09/2022,245,169.15,0
12/09/2022,246,146.29,0
19/09/2022,247,140.41,0
26/09/2022,248,135.68,0
03/10/2022,249,133.45,0
10/10/2022,250,126.76,0
17/10/2022,251,130.01,0
24/10/2022,252,99.20,0
31/10/2022,253,90.79,0
07/11/2022,254,113.02,0
14/11/2022,255,112.05,0
21/11/2022,256,111.41,0
28/11/2022,257,123.49,0
05/12/2022,258,115.90,0
12/12/2022,259,119.43,0
19/12/2022,260,118.04,0
26/12/2022,261,120.34,0
02/01/2023,262,130.02,0
09/01/2023,263,136.98,0
16/01/2023,264,139.37,0
23/01/2023,265,151.74,0
30/01/2023,266,186.53,0
06/02/2023,267,174.15,0
13/02/2023,268,172.88,0
20/02/2023,269,170.39,0
27/02/2023,270,185.25,0
06/03/2023,271,179.51,0
13/03/2023,272,195.61,0
20/03/2023,273,206.01,0
27/03/2023,274,211.94,0
03/04/2023,275,216.10,0
10/04/2023,276,221.49,0
17/04/2023,277,212.89,0
24/04/2023,278,240.32,0
01/05/2023,279,232.78,0
08/05/2023,280,233.81,0
15/05/2023,281,245.64,0
22/05/2023,282,262.04,0
29/05/2023,283,272.61,0
05/06/2023,284,264.95,0
12/06/2023,285,281.00,0
19/06/2023,286,288.73,0
26/06/2023,287,286.98,0
03/07/2023,288,290.53,0
10/07/2023,289,308.87,0
17/07/2023,290,294.26,0
24/07/2023,291,325.48,0
31/07/2023,292,310.73,0
07/08/2023,293,301.64,0
14/08/2023,294,283.25,0
21/08/2023,295,285.50,0
28/08/2023,296,296.38,0
04/09/2023,297,297.89,0
11/09/2023,298,300.31,0
18/09/2023,299,299.08,0
25/09/2023,300,300.21,0
02/10/2023,301,315.43,0
09/10/2023,302,314.69,0
16/10/2023,303,308.65,0
23/10/2023,304,296.73,0
30/10/2023,305,302.66,0
